ROW_ID,PRODUCT_TYPE,PRODUCT_NAME,METAL,CONCENTRATION,UNITS,MANUFACTURER,MADE_IN_COUNTRY,COLLECTION_DATE,HIGH_CONCENTRATION,CONCENTRATION_IS_NEGATIVE_ONE,CONCENTRATION_PPM
2893,Food Other,Milk Powder,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,UNITED KINGDOM,2018-03-20,False,True,-1.0
2894,Jewelry,Necklace,Lead,26.0,ppm,Kate Spade,UNKNOWN OR NOT STATED,2018-03-20,True,False,26.0
2895,Toys/Children's Products,Toy Balloon,Lead,-1.0,ppm,Anagram,UNITED STATES,2018-03-20,False,True,-1.0
2896,Dietary Supplement/Medications/Remedy,Ayurvedic medicine (large round pellets),Arsenic,22.0,ppm,UNKNOWN OR NOT STATED,INDIA,2018-03-22,True,False,22.0
2897,Dietary Supplement/Medications/Remedy,Ayurvedic medicine (large round pellets),Lead,13.0,ppm,UNKNOWN OR NOT STATED,INDIA,2018-03-22,True,False,13.0
2898,Dietary Supplement/Medications/Remedy,Ayurvedic medicine (large round pellets),Mercury,17000.0,ppm,UNKNOWN OR NOT STATED,INDIA,2018-03-22,True,False,17000.0
2899,Dietary Supplement/Medications/Remedy,Ayurvedic medicine (small round pellets),Arsenic,-1.0,ppm,UNKNOWN OR NOT STATED,INDIA,2018-03-22,False,True,-1.0
2900,Dietary Supplement/Medications/Remedy,Ayurvedic medicine (small round pellets),Arsenic,640.0,ppm,UNKNOWN OR NOT STATED,INDIA,2018-03-22,True,False,640.0
2901,Dietary Supplement/Medications/Remedy,Ayurvedic medicine (small round pellets),Lead,75000.0,ppm,UNKNOWN OR NOT STATED,INDIA,2018-03-22,True,False,75000.0
2902,Dietary Supplement/Medications/Remedy,Ayurvedic medicine (small round pellets),Mercury,9200.0,ppm,UNKNOWN OR NOT STATED,INDIA,2018-03-22,True,False,9200.0
2903,Food-Spice,Red Chili,Lead,27.0,ppm,UNKNOWN OR NOT STATED,BANGLADESH,2018-03-23,True,False,27.0
2904,Food-Spice,Cumin,Lead,0.23,ppm,UNKNOWN OR NOT STATED,BANGLADESH,2018-03-23,False,False,0.23
2905,Food-Spice,Turmeric,Lead,0.88,ppm,UNKNOWN OR NOT STATED,BANGLADESH,2018-03-23,False,False,0.88
2906,Cosmetics,Surma,Lead,770000.0,ppm,UNKNOWN OR NOT STATED,INDIA,2018-03-23,True,False,770000.0
2907,Toys/Children's Products,Toy Car,Lead,11.0,ppm,UNKNOWN OR NOT STATED,CHINA,2018-03-27,True,False,11.0
2908,Toys/Children's Products,Toy car,Lead,22.0,ppm,UNKNOWN OR NOT STATED,CHINA,2018-03-27,True,False,22.0
2909,Cosmetics,Childrens Lipgloss,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2018-03-27,False,True,-1.0
2910,Food-Spice,"Red, sweet spice",Lead,-1.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2018-03-30,False,True,-1.0
2911,Food-Spice,"Red, sweet spice",Lead,0.07,MG/CM^2,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2018-03-30,False,False,
2912,Food-Spice,Yellow spice (ginger-like),Lead,-1.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2018-03-30,False,True,-1.0
2913,Food-Spice,Yellow spice (ginger-like),Lead,0.03,MG/CM^2,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2018-03-30,False,False,
2914,Tableware/Pottery,Tajine base (Interior),Lead,20.0,MG/CM^2,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2018-03-30,True,False,
2915,Tableware/Pottery,Tajine base (Exterior),Lead,0.55,MG/CM^2,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2018-03-30,False,False,
2916,Food-Spice,Turmeric,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,INDIA,2018-03-31,False,True,-1.0
2917,Food-Spice,Red Chili,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,INDIA,2018-03-31,False,True,-1.0
2918,Food Other,Abuelita Hot Chocolate Drink Tablets,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,MEXICO,2018-04-05,False,True,-1.0
2919,Toys/Children's Products,Crayola,Lead,1.1,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2018-04-10,False,False,1.1
2920,Cosmetics,Surma,Lead,810000.0,ppm,UNKNOWN OR NOT STATED,SAUDI ARABIA,2018-04-11,True,False,810000.0
2921,Food-Spice,Chili Powder,Lead,0.34,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2018-04-11,False,False,0.34
2922,Food-Spice,Turmeric Powder,Lead,0.6,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2018-04-11,False,False,0.6
2923,Food-Spice,Coriander powder,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2018-04-11,False,True,-1.0
2924,Food-Spice,Shan Tandoori Masala,Lead,-1.0,ppm,Shan Foods (Private) Ltd.,PAKISTAN,2018-04-11,False,True,-1.0
2925,Food-Spice,Curry Powder,Lead,0.4,ppm,UNKNOWN OR NOT STATED,UNITED STATES,2018-04-11,False,False,0.4
2926,Food Other,Herbal tea,Lead,50.0,ppm,UNKNOWN OR NOT STATED,CHINA,2018-04-16,True,False,50.0
2927,Cosmetics,Hashmi Khol Aswad,Lead,850000.0,ppm,UNKNOWN OR NOT STATED,NIGER,2018-04-19,True,False,850000.0
2928,Cosmetics,Eye liner pencil,Lead,36.0,ppm,UNKNOWN OR NOT STATED,OTHER AFRICAN,2018-04-19,True,False,36.0
2929,Dietary Supplement/Medications/Remedy,Asthma remedy,Lead,16.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2018-04-20,True,False,16.0
2930,Food-Spice,Red dressing spice powder,Lead,1.7,ppm,UNKNOWN OR NOT STATED,UNITED STATES,2018-04-26,False,False,1.7
2931,Food-Spice,Chicken Flavored Noodle Soup,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,CROATIA (local name: Hrvatska),2018-04-26,False,True,-1.0
2932,Food Other,Lino Chocolino Instant Cereal Flakes,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,CROATIA (local name: Hrvatska),2018-04-26,False,True,-1.0
2933,Food-Spice,Hello chips!,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,SERBIA,2018-04-26,False,True,-1.0
2934,Food-Candy,Krem Banana,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,MACEDONIA - THE FORMER YUGOSLAV REPUBLIC OF,2018-04-26,False,True,-1.0
2935,Food Other,Stobi Flips,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,MACEDONIA - THE FORMER YUGOSLAV REPUBLIC OF,2018-04-26,False,True,-1.0
2936,Food-Spice,Bamba peanut snack,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,ISRAEL,2018-04-26,False,True,-1.0
2937,Food-Candy,Lane biscuits,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,SERBIA,2018-04-26,False,True,-1.0
2938,Food-Spice,Vegeta Seasoning,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,CROATIA (local name: Hrvatska),2018-04-26,False,True,-1.0
2939,Food Other,Peanuts,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,GAMBIA,2018-04-30,False,True,-1.0
2940,Food-Spice,Shad Dry Whole Chili,Lead,-1.0,ppm,Fatima Brother's Inc.,UNITED STATES,2018-05-04,False,True,-1.0
2941,Food-Spice,Shan Red Chilli Powder,Lead,-1.0,ppm,Shan Foods Ltd,PAKISTAN,2018-05-04,False,True,-1.0
2942,Food-Spice,Noor's Chilli Powder,Lead,0.17,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2018-05-04,False,False,0.17
2943,Food-Spice,Hoque Extra Hot Chili,Lead,0.53,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2018-05-04,False,False,0.53
2944,Food-Spice,Hoque Turmeric,Lead,0.23,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2018-05-04,False,False,0.23
2945,Food-Spice,Radhuni Chilli Powder,Lead,-1.0,ppm,Square Food & Beverage Ltd.,BANGLADESH,2018-05-04,False,True,-1.0
2946,Food-Spice,Radhuni Turmeric Powder,Lead,-1.0,ppm,Square Food & Beverage Ltd.,BANGLADESH,2018-05-04,False,True,-1.0
2947,Food-Spice,Laxmi Brand Red Chilli Powder,Lead,-1.0,ppm,UNKNOWN OR NOT STATED,UNKNOWN OR NOT STATED,2018-05-04,False,True,-1.0
2948,Food-Spice,Danish Dry Whole Chilli,Lead,-1.0,ppm,Danish Foods Limited,BANGLADESH,2018-05-04,False,True,-1.0
